score_threshold,equal_investment,technical_weight,sentiment_weight,min_market_cap,max_market_cap,total_operations,roi,avg_profit_per_op,win_rate
0.3,False,0.9,0.1,10000000,100000000000000,48,-1.86208333333333,-0.383958333333333,52.0841666666667
0.3,True,0.4,0.6,50000000,10000000000,132,-0.38,-0.38,53.7871212121212
0.15,True,0.2,0.8,1,100000000000000,864,-0.375868055555556,-0.375868055555556,50.9270717592593
0.15,True,0.2,0.8,1000000,100000000000000,864,-0.375868055555556,-0.375868055555556,50.9270717592593
0.1,True,0.2,0.8,50000000,10000000000,693,-0.375844155844156,-0.375844155844156,50.3628427128427
0.25,True,0.4,0.6,10000000,100000000000000,307,-0.373745928338762,-0.373745928338762,54.3989250814332
0.35,False,0.2,0.8,1,100000000000000,227,-1.6468281938326,-0.369559471365639,51.099691629956
0.35,False,0.2,0.8,1000000,100000000000000,227,-1.6468281938326,-0.369559471365639,51.099691629956
0.25,True,0.7,0.3,1,100000000000000,120,-0.3685,-0.3685,54.9975
0.25,True,0.7,0.3,1000000,100000000000000,120,-0.3685,-0.3685,54.9975
0.2,True,0.2,0.8,1,100000000000000,655,-0.367022900763359,-0.367022900763359,51.4526564885496
0.2,True,0.2,0.8,1000000,100000000000000,655,-0.367022900763359,-0.367022900763359,51.4526564885496
0.3,False,0.9,0.1,1,100000000000000,52,-1.78942307692308,-0.353269230769231,51.9226923076923
0.3,False,0.9,0.1,1000000,100000000000000,52,-1.78942307692308,-0.353269230769231,51.9226923076923
0.35,False,0.2,0.8,10000000,100000000000000,223,-1.54717488789238,-0.345605381165919,51.5713452914798
0.2,False,0.2,0.8,50000000,10000000000,428,-1.38628504672897,-0.344509345794393,51.8677336448598
0.3,False,0,1,1000000000,100000000000000,275,-0.490618181818182,-0.340872727272727,54.9095272727273
-1,True,0,1,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.2,0.8,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.4,0.6,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.6,0.4,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.7,0.3,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.75,0.25,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.8,0.2,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
